IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,239180,0.18211277621859015
1,Forest Land,AS,Falsch,#006d2c,1074182,0.8178872237814099
2,Cropland,AS,Wahr,#d95f0e,38060,0.08803969419738379
2,Cropland,AS,Falsch,#993404,394245,0.9119603058026162
3,Grasslands,AS,Wahr,#ffffcc,870605,0.6713145382792054
3,Grasslands,AS,Falsch,#d9f0a3,426261,0.3286854617207946
4,Wetlands,AS,Wahr,#2c7fb8,46694,0.24641153375269134
4,Wetlands,AS,Falsch,#253494,142802,0.7535884662473087
5,Settlements,AS,Wahr,#d9d9d9,126769,0.3874879262492511
5,Settlements,AS,Falsch,#bdbdbd,200387,0.6125120737507489
6,Other Land,AS,Wahr,#fa9fb5,54563,0.09574371014553788
6,Other Land,AS,Falsch,#f768a1,515323,0.9042562898544622
