IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,1112815,0.8473025715682349
1,Forest Land,AS,Falsch,#006d2c,200547,0.15269742843176515
2,Cropland,AS,Wahr,#d95f0e,366640,0.8481049259203571
2,Cropland,AS,Falsch,#993404,65665,0.15189507407964287
3,Grasslands,AS,Wahr,#ffffcc,746279,0.575448041663518
3,Grasslands,AS,Falsch,#d9f0a3,550587,0.42455195833648196
4,Wetlands,AS,Wahr,#2c7fb8,145396,0.7672774095495419
4,Wetlands,AS,Falsch,#253494,44100,0.23272259045045807
5,Settlements,AS,Wahr,#d9d9d9,209127,0.6392271576862414
5,Settlements,AS,Falsch,#bdbdbd,118029,0.3607728423137586
6,Other Land,AS,Wahr,#fa9fb5,517919,0.9088115868787793
6,Other Land,AS,Falsch,#f768a1,51967,0.09118841312122072
