IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1,Forest Land,AS,Wahr,#2ca25f,1115808,0.8495814558362431
1,Forest Land,AS,Falsch,#006d2c,197554,0.15041854416375688
2,Cropland,AS,Wahr,#d95f0e,366965,0.8488567099617168
2,Cropland,AS,Falsch,#993404,65340,0.1511432900382832
3,Grasslands,AS,Wahr,#ffffcc,747803,0.5766231823488317
3,Grasslands,AS,Falsch,#d9f0a3,549063,0.4233768176511683
4,Wetlands,AS,Wahr,#2c7fb8,145379,0.7671876978933593
4,Wetlands,AS,Falsch,#253494,44117,0.23281230210664072
5,Settlements,AS,Wahr,#d9d9d9,209708,0.6410030688723423
5,Settlements,AS,Falsch,#bdbdbd,117448,0.35899693112765774
6,Other Land,AS,Wahr,#fa9fb5,518001,0.9089554753055874
6,Other Land,AS,Falsch,#f768a1,51885,0.0910445246944126
