IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1.0,Forest Land,AS,Wahr,#2ca25f,1239236,0.943560115185303
1.0,Forest Land,AS,Falsch,#006d2c,74126,0.05643988481469697
2.0,Cropland,AS,Wahr,#d95f0e,225199,0.5209261979389551
2.0,Cropland,AS,Falsch,#993404,207106,0.4790738020610449
3.0,Grasslands,AS,Wahr,#ffffcc,1061527,0.8185325237919724
3.0,Grasslands,AS,Falsch,#d9f0a3,235339,0.1814674762080276
4.0,Wetlands,AS,Wahr,#2c7fb8,148401,0.7831352640688986
4.0,Wetlands,AS,Falsch,#253494,41095,0.21686473593110145
5.0,Settlements,AS,Wahr,#d9d9d9,119501,0.3652722248713152
5.0,Settlements,AS,Falsch,#bdbdbd,207655,0.6347277751286848
6.0,Other Land,AS,Wahr,#fa9fb5,449146,0.7881330652095332
6.0,Other Land,AS,Falsch,#f768a1,120740,0.2118669347904668
