IPCC_AS_Id,IPCC_AS_Name,Art,Uebereinstimmende_Klassifikation,Farbe,Anzahl,Anteil
1.0,Forest Land,AS,Wahr,#2ca25f,1227059,0.9342884901497074
1.0,Forest Land,AS,Falsch,#006d2c,86303,0.06571150985029262
2.0,Cropland,AS,Wahr,#d95f0e,223561,0.5171372063705023
2.0,Cropland,AS,Falsch,#993404,208744,0.4828627936294977
3.0,Grasslands,AS,Wahr,#ffffcc,1044052,0.8050577314849799
3.0,Grasslands,AS,Falsch,#d9f0a3,252814,0.19494226851502006
4.0,Wetlands,AS,Wahr,#2c7fb8,147098,0.7762591294803056
4.0,Wetlands,AS,Falsch,#253494,42398,0.22374087051969438
5.0,Settlements,AS,Wahr,#d9d9d9,101134,0.30913081221191113
5.0,Settlements,AS,Falsch,#bdbdbd,226022,0.6908691877880888
6.0,Other Land,AS,Wahr,#fa9fb5,437766,0.768164159147619
6.0,Other Land,AS,Falsch,#f768a1,132120,0.23183584085238096
