,10,30,40,50,60,70,80,90,100
10,1284556,113719,3344,13723,3732,254,7366,33,1133
30,191947,1111782,19301,11660,4406,329,688,246,66171
40,21359,138681,221847,1489,974,0,38,5,0
50,64216,45358,7532,81905,1514,11,608,1,100
60,13458,113924,12,67,180198,57621,631,1,96704
70,0,242,0,0,6592,95232,263,0,663
80,1208,1133,22,172,188,148,140230,26,308
90,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,0
